Time,bit-x,bitfinex,bitflyer,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2016-07-12 00:00:00 UTC,25058.2550000001,30215.6114210001,43833.5798260099,4874.8214227,25722.7509999998,11248.0486292299,508313.54220003,8207.85324177,841303.252999569,74770.42904140768
2016-07-13 00:00:00 UTC,12406.637,17511.79159831,52999.25305139,6982.58650251,20698.6483999998,22502.2008507,395298.997000001,5161.65716559,716338.993999596,89705.36928323761
2016-07-14 00:00:00 UTC,32338.9480000002,20197.93077134,25200.8223548,2705.3812069,23790.9459999999,5169.55327352,364327.209100009,4591.20516293,705347.705999592,78039.15303829924
2016-07-15 00:00:00 UTC,20240.007,9472.16958394,27831.14049236,3605.87794888,22687.7768999999,5172.24510877001,365474.054700002,4898.29462921,638201.38399977,71728.93131694345
2016-07-16 00:00:00 UTC,22373.1819999999,5924.14414477,20177.12380309,1798.83266865,18993.3982,3156.30610006,283824.645000014,1775.30522646,451730.709999973,48948.5484129901
2016-07-17 00:00:00 UTC,12490.758,20414.4436280001,24501.84719583,3735.42749712,31642.3520000001,4325.05857521001,416205.070400018,6485.36426807,666992.683999817,56379.99936737321
2016-07-18 00:00:00 UTC,6056.588,18078.66362509,21912.39785366,3397.34792536,36680.5896999999,4990.86679986999,426121.89000001,5823.48640578,713602.648999746,65473.73317713088
2016-07-19 00:00:00 UTC,5945.081,10947.2977349,20011.35533794,2264.92852989,44539.317,4298.93374786,305612.304300006,3745.79809377,531890.371999864,58537.95436562357
2016-07-20 00:00:00 UTC,5853.493,12852.46911207,24566.17834688,3806.59884484,108310.713800001,4070.25927312,334563.529800038,5641.47094141,592222.890999839,57764.197476200454
2016-07-21 00:00:00 UTC,4861.249,10702.00559668,23038.77637972,2857.73274229,87473.3136000004,4445.28320669,265971.300500014,3342.99179757,488371.068999932,56235.68403721295
2016-07-22 00:00:00 UTC,5318.108,27841.9231127101,24944.17792866,5652.5543542,116579.8934,7992.88880228,325429.788800016,6450.38255515,597368.338999772,52022.77344723094
2016-07-23 00:00:00 UTC,5413.167,10004.54716872,21455.71287286,1475.69136743,82702.8213000004,4765.98262293,285431.798700011,2890.67178351,488696.767999966,41086.33113583646
2016-07-24 00:00:00 UTC,5355.231,14018.78565407,22361.1663598,1660.28813214,79804.4300000003,3669.56256934,298891.109800005,3821.61315334,465903.961999959,41629.39559323487
2016-07-25 00:00:00 UTC,5119.119,14838.34110471,17182.42711154,2758.69966221,83868.1891999999,4569.215851,248436.444000017,5035.21913506,422931.230999965,41649.22138812508
2016-07-26 00:00:00 UTC,5310.034,20359.80927161,15848.49748566,4190.55951867,148527.4462,7159.93199283999,299061.979900018,6770.62405386,348468.095000052,45735.90910238286
2016-07-27 00:00:00 UTC,5222.746,13286.86440061,12663.03012234,3149.77103025,86671.6253000003,5752.21356370999,294947.983500012,6859.77761125,415530.937999987,47645.631725670275
2016-07-28 00:00:00 UTC,5325.155,8880.20242111,17023.58389687,2118.27617243,61428.5937,4329.22102065,270027.795100013,4034.60583888,345574.873000035,36208.24835986317
2016-07-29 00:00:00 UTC,5296.531,9227.87150603,12996.8197684,1540.30725326,68191.4269000004,4671.2763245,204078.733900014,3635.87339799,316178.109000042,35297.66257569351
2016-07-30 00:00:00 UTC,5316.445,8090.96048463999,13154.56225172,877.22725188,44868.9156999999,3215.61531411,156471.925900018,2111.99927062,263881.296000066,24945.58874790628
2016-07-31 00:00:00 UTC,5242.182,33255.804679,24665.5078715,5495.61045256,163996.917800001,6895.77736133999,439158.001399973,7350.00213308,596268.668999837,44290.67131964329
2016-08-01 00:00:00 UTC,5133.477,31426.51603003,23329.30404119,6303.3821266,191957.099100002,8525.06074300999,467340.873900012,10571.68937169,821944.452999518,52908.289215887555
2016-08-02 00:00:00 UTC,5361.526,33013.96233754,32865.6347056299,23792.75505655,205001.709400003,15921.01780687,977611.971399994,33628.58012479,1511646.48799901,102600.47374030986
2016-08-03 00:00:00 UTC,5132.291,,24662.7553777299,16577.76001569,241442.121400004,21713.5235388103,1124446.13089998,20982.05407149,1392456.7849991,91430.18224174685
2016-08-04 00:00:00 UTC,5404.784,,16796.22080021,9245.09602832,184749.584700003,10398.38072922,740357.713600011,11819.27908468,1432765.33799877,58766.315610642945
2016-08-05 00:00:00 UTC,5334.151,,7868.03797592001,5229.84640956,87562.1294000004,6063.30943223,305340.48670003,4703.32282605,745770.750999528,46175.05926087608
2016-08-06 00:00:00 UTC,4842.625,,13986.66624288,6370.20255006999,94465.7930000012,4217.80469892,330342.128300029,5832.51507132,710794.349999789,56675.91861960669
2016-08-07 00:00:00 UTC,4200.128,,13969.27306878,3063.74944699,131471.539400002,3620.07943376,489646.619600051,5601.26074034,922873.790999486,53223.677295515896
2016-08-08 00:00:00 UTC,4489.418,,15422.91193208,3642.63868142,86534.2303000003,4246.01106151,326461.195200034,4368.57171383,655795.781999709,47375.54373895868
2016-08-09 00:00:00 UTC,5274.66,,14089.31116802,3647.35574439,99738.6632000005,5272.46866151,352162.189200027,5916.28484374,717809.72199963,46942.779457574725
2016-08-10 00:00:00 UTC,4640.894,21352.11111853,10509.82304115,5615.03611358,96216.6337000003,9885.83354334011,356254.396900041,7624.82706843,674206.879999752,57160.61812622806
2016-08-11 00:00:00 UTC,4690.117,15295.56242806,10837.14337144,2915.97944097,80125.4025000005,5439.88177331999,305193.746500015,5521.49429898,551761.447999886,48944.45777326254
2016-08-12 00:00:00 UTC,5302.347,6287.98760026,15708.46308541,2373.7525127,97046.1446000004,4254.27284449,308687.457500024,4868.23327062,643610.226999769,44343.701312546
2016-08-13 00:00:00 UTC,5266.635,6420.32283696,15787.37885363,1114.69497836,69865.9312000003,3082.37940198,225218.400000037,2213.94128681,525490.268999942,35419.2128998565
2016-08-14 00:00:00 UTC,5339.684,7530.30904219,21335.89124845,5160.55931587,106904.8554,4490.12580495,343279.582500028,5477.85285223,763912.461999654,46313.65899379454
2016-08-15 00:00:00 UTC,5520.349,7650.16951653,18722.85847535,5045.13010764,69919.8925000002,4804.84851214,312683.993600012,4960.52733855,670733.107999753,49838.338346588505
2016-08-16 00:00:00 UTC,5429.147,6221.58467139,18164.73413984,5268.31470106,71591.3426000002,5118.12306257,280154.402100023,6487.0817796,667791.184999706,65593.91353621296
2016-08-17 00:00:00 UTC,5547.621,5033.03121331,12783.01408494,4507.54728968,60020.9421000002,5006.67727799,221913.705600016,3782.44543863,520540.435999903,68733.1615734621
2016-08-18 00:00:00 UTC,5535.496,6000.62298850001,12919.90633234,4241.46314858,59524.8424000001,4362.37121352,195620.364700015,4228.05303769,442264.334000034,69238.61963521322
2016-08-19 00:00:00 UTC,5529.94,2942.51726681,6088.13391883001,4951.50354921,49159.168,4469.40125505,178660.926600016,4007.51770038,406942.630000028,54368.25237088748
2016-08-20 00:00:00 UTC,5417.106,3326.81486245,7047.79637933,2670.76274862,60866.6762000002,3946.3269066,199865.146500004,2504.90722888,427649.554999913,51322.56122330669
2016-08-21 00:00:00 UTC,5421.31,2425.60721087,7945.12209162,1230.31610499,38821.1426,2635.65807944,187051.621100013,1807.0891294,393550.105000013,46185.64551248453
2016-08-22 00:00:00 UTC,5681.412,4623.22707838,10871.21677649,5425.86515502,47601.0280000001,4806.08176326,190536.046700007,4400.8635572,351405.156000013,48364.78831230294
2016-08-23 00:00:00 UTC,5396.123,4803.80673527,11988.32021125,4564.40069413,76011.6456000005,5577.20166771999,267007.783600015,4902.5874991,562272.393999802,47639.109489324175
2016-08-24 00:00:00 UTC,5378.829,5052.56705987,11667.39315721,3366.41319801,64116.4049000008,4222.97892965,138247.567000025,3628.01567881,374995.20700006,43431.38620356117
2016-08-25 00:00:00 UTC,5214.848,3571.55271552,16259.94881267,4567.91370533,72767.4903000003,4498.67199355,169367.635700021,5089.72175159,394714.196000044,43409.19118752826
2016-08-26 00:00:00 UTC,5544.112,1769.10070238,11553.5299433,3661.77492422,61999.2963000003,3681.26434984,126803.328600005,3695.82763994,338990.98200006,37652.884528812065
2016-08-27 00:00:00 UTC,5494.993,2258.285485,15537.38495844,2835.58990185,74807.5823000003,3306.96818526,173036.628400011,2770.38691015,435187.429999928,28108.097590187226
2016-08-28 00:00:00 UTC,5571.16,1518.12951235,16044.68869815,1148.71059086,61585.9812000001,2848.83990345,135162.92490001,2264.05938094,337483.377000043,23129.787469279432
2016-08-29 00:00:00 UTC,5350.344,2800.79053777,14960.55321161,2763.3954971,81973.9049000003,4953.28512287999,145158.697600009,4036.65850899,369886.860000038,35562.42987274446
2016-08-30 00:00:00 UTC,5419.469,3195.79981424,15873.89005923,4751.19467829,70436.2138000002,4589.82416324,165811.096000008,4462.97095267,413119.224999941,37824.27118004733
