"t","v"
"2011-09-29T00:00:00Z","327531.08637725"
"2011-09-30T00:00:00Z","286330.6044114"
"2011-10-01T00:00:00Z","411983.29261222"
"2011-10-02T00:00:00Z","316193.72883575"
"2011-10-03T00:00:00Z","401406.8791554"
"2011-10-04T00:00:00Z","413765.32265793"
"2011-10-05T00:00:00Z","400299.21870005"
"2011-10-06T00:00:00Z","528940.87064058"
"2011-10-07T00:00:00Z","376070.29237931"
"2011-10-08T00:00:00Z","277509.08929959"
"2011-10-09T00:00:00Z","297719.67332482"
"2011-10-10T00:00:00Z","311042.74612257"
"2011-10-11T00:00:00Z","328406.65841779"
"2011-10-12T00:00:00Z","315806.11437001"
"2011-10-13T00:00:00Z","299921.91110581"
"2011-10-14T00:00:00Z","270397.35199222"
"2011-10-15T00:00:00Z","376339.52695582"
"2011-10-16T00:00:00Z","255364.1178541"
"2011-10-17T00:00:00Z","480146.52036352"
"2011-10-18T00:00:00Z","337802.64447824"
"2011-10-19T00:00:00Z","301844.68899697"
"2011-10-20T00:00:00Z","292720.88487622"
"2011-10-21T00:00:00Z","561661.42398609"
"2011-10-22T00:00:00Z","561641.66287366"
"2011-10-23T00:00:00Z","565574.84167218"
"2011-10-24T00:00:00Z","363600.35667478"
"2011-10-25T00:00:00Z","375032.00149618"
"2011-10-26T00:00:00Z","423994.4048281"
"2011-10-27T00:00:00Z","503363.44080694"
"2011-10-28T00:00:00Z","448026.85201245"
"2011-10-29T00:00:00Z","433915.50376331"
"2011-10-30T00:00:00Z","207089.49656041"
"2011-10-31T00:00:00Z","382889.30116306"
"2011-11-01T00:00:00Z","532332.91522642"
"2011-11-02T00:00:00Z","401306.98839045"
"2011-11-03T00:00:00Z","349334.94683722"
"2011-11-04T00:00:00Z","393139.67530243"
"2011-11-05T00:00:00Z","284677.42686425"
"2011-11-06T00:00:00Z","222464.52847504"
"2011-11-07T00:00:00Z","262676.81926215"
"2011-11-08T00:00:00Z","1113168.30628401"
"2011-11-09T00:00:00Z","971423.29234727"
"2011-11-10T00:00:00Z","354587.03772455"
"2011-11-11T00:00:00Z","299458.01676748"
"2011-11-12T00:00:00Z","259961.51937693"
"2011-11-13T00:00:00Z","242825.63905449"
"2011-11-14T00:00:00Z","349874.47519216"
"2011-11-15T00:00:00Z","352174.04903899"
"2011-11-16T00:00:00Z","2025572.0248085"
"2011-11-17T00:00:00Z","3273900.51832929"
"2011-11-18T00:00:00Z","5066728.31271441"
"2011-11-19T00:00:00Z","4120553.33743"
"2011-11-20T00:00:00Z","1533280.76715661"
"2011-11-21T00:00:00Z","1689920.43960204"
"2011-11-22T00:00:00Z","3587800.55082685"
"2011-11-23T00:00:00Z","1563133.36281745"
"2011-11-24T00:00:00Z","1511420.78786149"
"2011-11-25T00:00:00Z","1081770.52685262"
"2011-11-26T00:00:00Z","1597283.27346137"
"2011-11-27T00:00:00Z","1794905.68332295"
"2011-11-28T00:00:00Z","4007478.04410819"
"2011-11-29T00:00:00Z","3939595.53206873"
"2011-11-30T00:00:00Z","6579294.67158659"
"2011-12-01T00:00:00Z","2115230.9702429"
"2011-12-02T00:00:00Z","5484425.8701192"
"2011-12-03T00:00:00Z","3494635.77164682"
"2011-12-04T00:00:00Z","2943278.95060265"
"2011-12-05T00:00:00Z","2960310.9248032"
"2011-12-06T00:00:00Z","6895302.25108978"
"2011-12-07T00:00:00Z","5603342.5559616"
"2011-12-08T00:00:00Z","4584545.23046798"
"2011-12-09T00:00:00Z","2007321.78188353"
"2011-12-10T00:00:00Z","1121965.04283811"
"2011-12-11T00:00:00Z","861686.46929454"
"2011-12-12T00:00:00Z","734987.76927689"
"2011-12-13T00:00:00Z","347834.00174115"
"2011-12-14T00:00:00Z","427515.26714815"
"2011-12-15T00:00:00Z","448053.88739285"
"2011-12-16T00:00:00Z","478242.42232347"
"2011-12-17T00:00:00Z","356936.26668946"
"2011-12-18T00:00:00Z","325651.25060754"
"2011-12-19T00:00:00Z","477411.18094041"
"2011-12-20T00:00:00Z","525558.17972805"
"2011-12-21T00:00:00Z","572294.74868019"
"2011-12-22T00:00:00Z","431075.71624406"
"2011-12-23T00:00:00Z","264615.7434866"
"2011-12-24T00:00:00Z","306938.84785872"
"2011-12-25T00:00:00Z","297926.36172411"
"2011-12-26T00:00:00Z","695873.10773586"
"2011-12-27T00:00:00Z","667103.14684628"
"2011-12-28T00:00:00Z","275643.67705459"
"2011-12-29T00:00:00Z","502124.02221471"
"2011-12-30T00:00:00Z","278255.70771962"
"2011-12-31T00:00:00Z","262981.66088964"
"2012-01-01T00:00:00Z","339850.19179464"
"2012-01-02T00:00:00Z","255074.87950007"
"2012-01-03T00:00:00Z","262787.61980804"
"2012-01-04T00:00:00Z","393129.82999734"
"2012-01-05T00:00:00Z","683151.46477824"
"2012-01-06T00:00:00Z","604357.06286255"
"2012-01-07T00:00:00Z","310095.38471111"
"2012-01-08T00:00:00Z","350088.03133142"
"2012-01-09T00:00:00Z","440827.214917"
"2012-01-10T00:00:00Z","386121.5948416"
"2012-01-11T00:00:00Z","384750.46976449"
"2012-01-12T00:00:00Z","355868.94026889"
