Date_Key,Country,Country_Code,Fact,Fact_Type,Source
19/11/17,Portugal,PRT,21,SearchInterest,Google
26/11/17,Portugal,PRT,42,SearchInterest,Google
3/12/17,Portugal,PRT,56,SearchInterest,Google
10/12/17,Portugal,PRT,50,SearchInterest,Google
17/12/17,Portugal,PRT,60,SearchInterest,Google
24/12/17,Portugal,PRT,43,SearchInterest,Google
31/12/17,Portugal,PRT,32,SearchInterest,Google
7/1/18,Portugal,PRT,32,SearchInterest,Google
14/1/18,Portugal,PRT,35,SearchInterest,Google
21/1/18,Portugal,PRT,28,SearchInterest,Google
28/1/18,Portugal,PRT,25,SearchInterest,Google
4/2/18,Portugal,PRT,29,SearchInterest,Google
11/2/18,Portugal,PRT,20,SearchInterest,Google
18/2/18,Portugal,PRT,15,SearchInterest,Google
25/2/18,Portugal,PRT,13,SearchInterest,Google
4/3/18,Portugal,PRT,15,SearchInterest,Google
11/3/18,Portugal,PRT,13,SearchInterest,Google
18/3/18,Portugal,PRT,11,SearchInterest,Google
25/3/18,Portugal,PRT,11,SearchInterest,Google
1/4/18,Portugal,PRT,12,SearchInterest,Google
8/4/18,Portugal,PRT,10,SearchInterest,Google
15/4/18,Portugal,PRT,10,SearchInterest,Google
22/4/18,Portugal,PRT,9,SearchInterest,Google
29/4/18,Portugal,PRT,8,SearchInterest,Google
6/5/18,Portugal,PRT,9,SearchInterest,Google
13/5/18,Portugal,PRT,5,SearchInterest,Google
20/5/18,Portugal,PRT,8,SearchInterest,Google
27/5/18,Portugal,PRT,8,SearchInterest,Google
3/6/18,Portugal,PRT,6,SearchInterest,Google
10/6/18,Portugal,PRT,9,SearchInterest,Google
17/6/18,Portugal,PRT,7,SearchInterest,Google
24/6/18,Portugal,PRT,6,SearchInterest,Google
1/7/18,Portugal,PRT,9,SearchInterest,Google
8/7/18,Portugal,PRT,7,SearchInterest,Google
15/7/18,Portugal,PRT,10,SearchInterest,Google
22/7/18,Portugal,PRT,10,SearchInterest,Google
29/7/18,Portugal,PRT,13,SearchInterest,Google
5/8/18,Portugal,PRT,12,SearchInterest,Google
12/8/18,Portugal,PRT,10,SearchInterest,Google
19/8/18,Portugal,PRT,10,SearchInterest,Google
26/8/18,Portugal,PRT,9,SearchInterest,Google
2/9/18,Portugal,PRT,11,SearchInterest,Google
9/9/18,Portugal,PRT,10,SearchInterest,Google
16/9/18,Portugal,PRT,8,SearchInterest,Google
23/9/18,Portugal,PRT,8,SearchInterest,Google
30/9/18,Portugal,PRT,7,SearchInterest,Google
7/10/18,Portugal,PRT,7,SearchInterest,Google
14/10/18,Portugal,PRT,8,SearchInterest,Google
21/10/18,Portugal,PRT,8,SearchInterest,Google
28/10/18,Portugal,PRT,8,SearchInterest,Google
4/11/18,Portugal,PRT,9,SearchInterest,Google
11/11/18,Portugal,PRT,10,SearchInterest,Google
18/11/18,Portugal,PRT,13,SearchInterest,Google
25/11/18,Portugal,PRT,12,SearchInterest,Google
2/12/18,Portugal,PRT,8,SearchInterest,Google
9/12/18,Portugal,PRT,9,SearchInterest,Google
16/12/18,Portugal,PRT,10,SearchInterest,Google
23/12/18,Portugal,PRT,8,SearchInterest,Google
30/12/18,Portugal,PRT,8,SearchInterest,Google
6/1/19,Portugal,PRT,8,SearchInterest,Google
13/1/19,Portugal,PRT,8,SearchInterest,Google
20/1/19,Portugal,PRT,10,SearchInterest,Google
27/1/19,Portugal,PRT,8,SearchInterest,Google
3/2/19,Portugal,PRT,8,SearchInterest,Google
10/2/19,Portugal,PRT,9,SearchInterest,Google
17/2/19,Portugal,PRT,9,SearchInterest,Google
24/2/19,Portugal,PRT,11,SearchInterest,Google
3/3/19,Portugal,PRT,10,SearchInterest,Google
10/3/19,Portugal,PRT,9,SearchInterest,Google
17/3/19,Portugal,PRT,9,SearchInterest,Google
24/3/19,Portugal,PRT,9,SearchInterest,Google
31/3/19,Portugal,PRT,13,SearchInterest,Google
7/4/19,Portugal,PRT,11,SearchInterest,Google
14/4/19,Portugal,PRT,10,SearchInterest,Google
21/4/19,Portugal,PRT,10,SearchInterest,Google
28/4/19,Portugal,PRT,11,SearchInterest,Google
5/5/19,Portugal,PRT,13,SearchInterest,Google
12/5/19,Portugal,PRT,18,SearchInterest,Google
19/5/19,Portugal,PRT,14,SearchInterest,Google
26/5/19,Portugal,PRT,16,SearchInterest,Google
2/6/19,Portugal,PRT,14,SearchInterest,Google
9/6/19,Portugal,PRT,12,SearchInterest,Google
16/6/19,Portugal,PRT,17,SearchInterest,Google
23/6/19,Portugal,PRT,25,SearchInterest,Google
30/6/19,Portugal,PRT,18,SearchInterest,Google
7/7/19,Portugal,PRT,17,SearchInterest,Google
14/7/19,Portugal,PRT,17,SearchInterest,Google
21/7/19,Portugal,PRT,14,SearchInterest,Google
28/7/19,Portugal,PRT,15,SearchInterest,Google
4/8/19,Portugal,PRT,17,SearchInterest,Google
11/8/19,Portugal,PRT,16,SearchInterest,Google
18/8/19,Portugal,PRT,14,SearchInterest,Google
25/8/19,Portugal,PRT,39,SearchInterest,Google
1/9/19,Portugal,PRT,100,SearchInterest,Google
8/9/19,Portugal,PRT,43,SearchInterest,Google
15/9/19,Portugal,PRT,38,SearchInterest,Google
22/9/19,Portugal,PRT,29,SearchInterest,Google
29/9/19,Portugal,PRT,15,SearchInterest,Google
6/10/19,Portugal,PRT,13,SearchInterest,Google
13/10/19,Portugal,PRT,10,SearchInterest,Google
20/10/19,Portugal,PRT,14,SearchInterest,Google
27/10/19,Portugal,PRT,13,SearchInterest,Google
3/11/19,Portugal,PRT,11,SearchInterest,Google
10/11/19,Portugal,PRT,13,SearchInterest,Google
17/11/19,Portugal,PRT,12,SearchInterest,Google
24/11/19,Portugal,PRT,12,SearchInterest,Google
1/12/19,Portugal,PRT,10,SearchInterest,Google
8/12/19,Portugal,PRT,10,SearchInterest,Google
15/12/19,Portugal,PRT,9,SearchInterest,Google
22/12/19,Portugal,PRT,11,SearchInterest,Google
29/12/19,Portugal,PRT,11,SearchInterest,Google
5/1/20,Portugal,PRT,13,SearchInterest,Google
12/1/20,Portugal,PRT,11,SearchInterest,Google
19/1/20,Portugal,PRT,12,SearchInterest,Google
26/1/20,Portugal,PRT,12,SearchInterest,Google
2/2/20,Portugal,PRT,14,SearchInterest,Google
9/2/20,Portugal,PRT,14,SearchInterest,Google
16/2/20,Portugal,PRT,10,SearchInterest,Google
23/2/20,Portugal,PRT,14,SearchInterest,Google
1/3/20,Portugal,PRT,11,SearchInterest,Google
8/3/20,Portugal,PRT,20,SearchInterest,Google
15/3/20,Portugal,PRT,20,SearchInterest,Google
