Date_Key,Fact,Fact_Type,Source
17/5/20,15,SearchInterest_GlobalAggregate,Google
24/5/20,13,SearchInterest_GlobalAggregate,Google
31/5/20,13,SearchInterest_GlobalAggregate,Google
7/6/20,12,SearchInterest_GlobalAggregate,Google
14/6/20,11,SearchInterest_GlobalAggregate,Google
21/6/20,10,SearchInterest_GlobalAggregate,Google
28/6/20,10,SearchInterest_GlobalAggregate,Google
5/7/20,10,SearchInterest_GlobalAggregate,Google
12/7/20,11,SearchInterest_GlobalAggregate,Google
19/7/20,10,SearchInterest_GlobalAggregate,Google
26/7/20,17,SearchInterest_GlobalAggregate,Google
2/8/20,15,SearchInterest_GlobalAggregate,Google
9/8/20,14,SearchInterest_GlobalAggregate,Google
16/8/20,13,SearchInterest_GlobalAggregate,Google
23/8/20,11,SearchInterest_GlobalAggregate,Google
30/8/20,13,SearchInterest_GlobalAggregate,Google
6/9/20,11,SearchInterest_GlobalAggregate,Google
13/9/20,10,SearchInterest_GlobalAggregate,Google
20/9/20,10,SearchInterest_GlobalAggregate,Google
27/9/20,9,SearchInterest_GlobalAggregate,Google
